Month,PopEst
10/01/2000,125613
11/01/2000,125669
12/01/2000,125689
01/01/2001,125643
02/01/2001,125727
03/01/2001,125651
04/01/2001,125722
05/01/2001,125665
06/01/2001,125751
07/01/2001,125781
08/01/2001,125730
09/01/2001,125766
10/01/2001,125930
11/01/2001,125992
12/01/2001,125993
01/01/2002,125932
02/01/2002,125953
03/01/2002,125898
04/01/2002,125991
05/01/2002,125954
06/01/2002,125998
07/01/2002,126028
08/01/2002,125978
09/01/2002,125995
10/01/2002,126053
11/01/2002,126078
12/01/2002,126114
01/01/2003,126025
02/01/2003,126146
03/01/2003,126043
04/01/2003,126187
05/01/2003,126209
06/01/2003,126251
07/01/2003,126247
08/01/2003,126201
09/01/2003,126181
10/01/2003,126206
11/01/2003,126201
12/01/2003,126240
01/01/2004,126173
02/01/2004,126254
03/01/2004,126191
04/01/2004,126252
05/01/2004,126167
06/01/2004,126250
07/01/2004,126250
08/01/2004,126229
09/01/2004,126230
10/01/2004,126266
11/01/2004,126283
12/01/2004,126299
01/01/2005,126276
02/01/2005,126273
03/01/2005,126204
04/01/2005,126272
05/01/2005,126123
06/01/2005,126220
07/01/2005,126221
08/01/2005,126209
09/01/2005,126192
10/01/2005,126205
11/01/2005,126214
12/01/2005,126214
01/01/2006,126283
02/01/2006,126232
03/01/2006,126209
04/01/2006,126231
05/01/2006,126211
06/01/2006,126223
07/01/2006,126260
08/01/2006,126310
09/01/2006,126275
10/01/2006,126286
11/01/2006,126291
12/01/2006,126294
01/01/2007,126368
02/01/2007,126305
03/01/2007,126306
04/01/2007,126319
05/01/2007,126295
06/01/2007,126301
07/01/2007,126336
08/01/2007,126385
09/01/2007,126341
10/01/2007,126347
11/01/2007,126341
12/01/2007,126340
01/01/2008,126407
02/01/2008,126335
03/01/2008,126315
04/01/2008,126320
05/01/2008,126294
06/01/2008,126298
07/01/2008,126332
08/01/2008,126377
09/01/2008,126327
10/01/2008,126340
11/01/2008,126336
12/01/2008,126332
01/01/2009,126402
02/01/2009,126338
03/01/2009,126312
04/01/2009,126324
05/01/2009,126301
06/01/2009,126303
07/01/2009,126337
08/01/2009,126379
09/01/2009,126331
10/01/2009,126343
11/01/2009,126349
12/01/2009,126350
01/01/2010,126416
02/01/2010,126369
03/01/2010,126360
04/01/2010,126373
05/01/2010,126350
06/01/2010,126349
07/01/2010,126387
08/01/2010,126430
09/01/2010,126380
10/01/2010,126382
11/01/2010,126373
12/01/2010,126362
01/01/2011,126420
02/01/2011,126343
03/01/2011,126300
04/01/2011,126253
05/01/2011,126221
06/01/2011,126207
07/01/2011,126227
08/01/2011,126259
09/01/2011,126213
10/01/2011,126210
11/01/2011,126199
12/01/2011,126184
01/01/2012,126233
02/01/2012,126145
03/01/2012,126103
04/01/2012,126094
05/01/2012,126049
06/01/2012,126038
07/01/2012,126061
08/01/2012,126089
09/01/2012,126030
10/01/2012,126023
11/01/2012,126001
12/01/2012,125979
01/01/2013,126032
02/01/2013,125930
03/01/2013,125892
04/01/2013,125887
05/01/2013,125838
06/01/2013,125825
07/01/2013,125847
08/01/2013,125877
09/01/2013,125811
10/01/2013,125803
11/01/2013,125784
12/01/2013,125761
01/01/2014,125821
02/01/2014,125735
03/01/2014,125675
04/01/2014,125658
05/01/2014,125612
06/01/2014,125600
07/01/2014,125621
08/01/2014,125652
09/01/2014,125573
10/01/2014,125562
11/01/2014,125543
12/01/2014,125517
01/01/2015,125577
02/01/2015,125460
03/01/2015,125428
04/01/2015,125420
05/01/2015,125371
06/01/2015,125360
07/01/2015,125389
08/01/2015,125416
09/01/2015,125336
10/01/2015,125319
11/01/2015,125295
12/01/2015,125275
01/01/2016,125340
02/01/2016,125235
03/01/2016,125193
04/01/2016,125189
05/01/2016,125140
06/01/2016,125125
07/01/2016,125155
08/01/2016,125177
09/01/2016,125091
10/01/2016,125071
11/01/2016,125044
12/01/2016,125013
01/01/2017,125070
02/01/2017,124964
03/01/2017,124900
04/01/2017,124886
05/01/2017,124835
06/01/2017,124821
07/01/2017,124848
08/01/2017,124857
09/01/2017,124770
10/01/2017,124745
11/01/2017,124713
12/01/2017,124678
01/01/2018,124732
02/01/2018,124602
03/01/2018,124547
04/01/2018,124526
05/01/2018,124471
06/01/2018,124450
07/01/2018,124471
08/01/2018,124477
09/01/2018,124387
10/01/2018,124349
11/01/2018,124315
12/01/2018,124279
01/01/2019,124329
02/01/2019,124196
03/01/2019,124133
04/01/2019,124103
05/01/2019,124045
06/01/2019,124020
07/01/2019,124030
08/01/2019,124031
09/01/2019,123928
10/01/2019,123886
11/01/2019,123843
12/01/2019,123800
01/01/2020,123840
02/01/2020,123703
03/01/2020,123610
04/01/2020,123575
05/01/2020,123551
06/01/2020,123521
07/01/2020,123503
08/01/2020,123484
09/01/2020,123437
